key,value
(--ANSWER_instruction--),"Certainly, I can answer your questions, help you find what you're looking for, and provide support for wide range of issues. How may I assist you today."
(--ANSWER_greeting--),"Good morning, how can I help you today."
(--ANSWER_question1--),"The NFL Rams are moving back to Los Angeles! They will be playing in a new state of the art stadium to be built in Inglewood, CA, about 10 miles for downtown LA."
(--ANSWER_question2--),"Herbalife is a global nutrition company that has been changing lives with great products since 1980. Our nutrition, weight-management, energy and fitness and personal care products are available exclusively to and through dedicated Independent Herbalife Members in more than 90 countries. We are committed to addressing the global obesity epidemic by offering high-quality products, one-on-one coaching with an Herbalife Member and a community that inspires customers to live a healthy, active life."
(--ANSWER_question3--),"Herbalife employs over 8000 people worldwide."
(--ANSWER_question4--),"This is the answer to 'question4'"
(--ANSWER_question5--),"This is the answer to 'question5'"
(--ANSWER_question6--),"This is the answer to 'question6'"
(--ANSWER_question7--),"This is the answer to 'question7'"
(--ANSWER_question8--),"This is the answer to 'question8'"
(--ANSWER_question9--),"This is the answer to 'question9'"
(--ANSWER_question10--),"This is the answer to 'question10'"
